"","geo_id","year","age_one","age_two","age_three","age_four","age_five"
"1",14460,2010,20.3,27.4,21.7,12.5,6.4
"2",14460,2011,20.2,27.3,22.2,12.6,6.4
"3",14460,2012,19.9,27.4,21.9,13.1,6.3
"4",14460,2013,19.9,27.3,21.9,13.4,6.3
"5",14460,2014,19.8,27.4,21.6,13.9,6.3
"6",14460,2015,19.6,27.3,21.3,14.4,6.3
"7",14460,2016,20,27.1,21.2,14.8,6.4
"8",14460,2017,17.7,22.2,26.3,13.4,13.2
"9",14460,2018,17.5,22.3,25.9,13.4,13.5
"10",14860,2010,19.5,25.9,22.4,12.5,6.6
"11",14860,2011,19.9,25.5,22.5,12.8,6.8
"12",14860,2012,19.5,25.4,23,12.7,6.7
"13",14860,2013,19.8,24.9,22.9,13.2,6.6
"14",14860,2014,20.3,24.6,22.8,13.5,6.6
"15",14860,2015,20.3,24.3,23,13.6,6.6
"16",14860,2016,20.3,24.1,22.6,14.4,6.7
"17",14860,2017,19.9,17.9,27.4,13.8,12.9
"18",14860,2018,19.8,17.7,27,14,13.6
"19",25540,2010,20.3,25.2,22.8,13.2,7.1
"20",25540,2011,19.9,24.7,23.1,13.3,7.2
"21",25540,2012,20.4,24.7,22.7,14.1,7.1
"22",25540,2013,20.4,24.5,22.5,14.4,7.1
"23",25540,2014,20.6,24.4,22.7,14.6,7.1
"24",25540,2015,20.6,24.3,22.3,15.2,7.2
"25",25540,2016,20.6,23.9,21.9,15.9,7.2
"26",25540,2017,18.2,20,25.7,14.2,14.5
"27",25540,2018,18.2,20,25.4,14.2,14.9
"28",35300,2010,20.9,25.7,21.8,13.1,7.3
"29",35300,2011,20.6,25.5,21.9,13.4,7.3
"30",35300,2012,20.7,25.4,22.2,13.5,7.2
"31",35300,2013,20.3,25.3,21.6,14.5,7.1
"32",35300,2014,20.5,25.2,21.5,14.9,7.1
"33",35300,2015,19.9,25.2,21.6,15.3,7.1
"34",35300,2016,20.2,25,21.3,15.7,7.1
"35",35300,2017,18.1,20.4,25.5,13.9,14.3
"36",35300,2018,18.2,20.3,25.1,14,14.7
"37",35620,2010,19.9,28.2,21.1,12.2,6.2
"38",35620,2011,19.6,28.2,21.1,12.5,6.3
"39",35620,2012,19.5,28.1,21,12.9,6.2
"40",35620,2013,19.4,27.9,21.1,13.1,6.3
"41",35620,2014,19.1,27.9,21,13.4,6.3
"42",35620,2015,19,27.8,20.9,13.8,6.3
"43",35620,2016,18.6,27.8,20.7,14.3,6.5
"44",35620,2017,17.8,21.3,26.8,12.8,13.1
"45",35620,2018,17.7,21,26.4,12.9,13.6
"46",35980,2010,19.8,24.7,23.3,13.8,6.6
"47",35980,2011,19.9,24.8,22.9,14.3,6.8
"48",35980,2012,20.1,24.3,23,14.9,6.6
"49",35980,2013,19.7,24.6,23.4,14.2,6.8
"50",35980,2014,20.2,23.8,23,15.3,7.1
"51",35980,2015,20.1,24.3,21.8,16.4,7.2
"52",35980,2016,20,23.9,21.8,16.9,7
"53",35980,2017,17.6,20.1,25.1,14.8,15.5
"54",35980,2018,17,20.5,24.7,15,15.9
"55",45860,2010,17.9,22.9,26.4,14.9,7.6
"56",45860,2011,17.7,21.9,26.9,15.2,7.6
"57",45860,2012,17.6,21.4,26.6,16.8,7.7
"58",45860,2013,17.6,21.8,26,17.4,7.6
"59",45860,2014,16.5,21.3,26.5,17.9,7.7
"60",45860,2015,17.4,21,25.1,19.6,7.8
"61",45860,2016,17.7,20.8,24.8,19.8,8.4
"62",45860,2017,16,16.1,25.9,17.9,16.6
"63",45860,2018,16,15.7,25.5,17.7,18.5
"64",49340,2010,20.8,25.6,23.2,11.7,6.3
"65",49340,2011,20.8,25.4,23.5,12.1,6.3
"66",49340,2012,20.8,25.2,23.1,12.9,6.2
"67",49340,2013,20.6,25.1,23.2,13.4,6.2
"68",49340,2014,20.9,24.8,23,14,6.2
"69",49340,2015,20.2,24.9,22.8,14.6,6.1
"70",49340,2016,20.5,24.6,22.5,15.2,6.3
"71",49340,2017,18.7,19.6,26.6,14.2,13.1
"72",49340,2018,18.7,19.8,26.3,14.3,13.7
