"","NAICS","NAICSDSCR"
"1","--","Total"
"2","11","Agriculture, forestry, fishing and hunting"
"3","113","Forestry and logging"
"4","114","Fishing, hunting and trapping"
"5","115","Support activities for agriculture and forestry"
"6","21","Mining, quarrying, and oil and gas extraction"
"7","211","Oil and gas extraction"
"8","212","Mining (except oil and gas)"
"9","213","Support activities for mining"
"10","22","Utilities"
"11","221","Utilities"
"12","23","Construction"
"13","236","Construction of buildings"
"14","237","Heavy and civil engineering construction"
"15","238","Specialty trade contractors"
"16","31-33","Manufacturing"
"17","311","Food manufacturing"
"18","312","Beverage and tobacco product manufacturing"
"19","313","Textile mills"
"20","314","Textile product mills"
"21","315","Apparel manufacturing"
"22","316","Leather and allied product manufacturing"
"23","321","Wood product manufacturing"
"24","322","Paper manufacturing"
"25","323","Printing and related support activities"
"26","324","Petroleum and coal products manufacturing"
"27","325","Chemical manufacturing"
"28","326","Plastics and rubber products manufacturing"
"29","327","Nonmetallic mineral product manufacturing"
"30","331","Primary metal manufacturing"
"31","332","Fabricated metal product manufacturing"
"32","333","Machinery manufacturing"
"33","334","Computer and electronic product manufacturing"
"34","335","Electrical equipment, appliance, and component manufacturing"
"35","336","Transportation equipment manufacturing"
"36","337","Furniture and related product manufacturing"
"37","339","Miscellaneous manufacturing"
"38","42","Wholesale trade"
"39","423","Merchant wholesalers, durable goods"
"40","424","Merchant wholesalers, nondurable goods"
"41","425","Wholesale electronic markets and agents and brokers"
"42","44-45","Retail trade"
"43","441","Motor vehicle and parts dealers"
"44","442","Furniture and home furnishings stores"
"45","443","Electronics and appliance stores"
"46","444","Building material and garden equipment and supplies dealers"
"47","445","Food and beverage stores"
"48","446","Health and personal care stores"
"49","447","Gasoline stations"
"50","448","Clothing and clothing accessories stores"
"51","451","Sporting goods, hobby, book, and music stores"
"52","452","General merchandise stores"
"53","453","Miscellaneous store retailers"
"54","454","Nonstore retailers"
"55","48-49","Transportation and warehousing"
"56","481","Air transportation"
"57","483","Water transportation"
"58","484","Truck transportation"
"59","485","Transit and ground passenger transportation"
"60","486","Pipeline transportation"
"61","487","Scenic and sightseeing transportation"
"62","488","Support activities for transportation"
"63","492","Couriers and messengers"
"64","493","Warehousing and storage"
"65","51","Information"
"66","511","Publishing industries (except Internet)"
"67","512","Motion picture and sound recording industries"
"68","515","Broadcasting (except Internet)"
"69","517","Telecommunications"
"70","518","Data processing, hosting and related services"
"71","519","Other information services"
"72","52","Finance and insurance"
"73","521","Monetary authorities- central bank"
"74","522","Credit intermediation and related activities"
"75","523","Securities, commodity contracts, and other financial investments and related activities"
"76","524","Insurance carriers and related activities"
"77","525","Funds, trusts, and other financial vehicles"
"78","53","Real estate and rental and leasing"
"79","531","Real estate"
"80","532","Rental and leasing services"
"81","533","Lessors of nonfinancial intangible assets (except copyrighted works)"
"82","54","Professional, scientific, and technical services"
"83","541","Professional, scientific, and technical services"
"84","55","Management of companies and enterprises"
"85","551","Management of companies and enterprises"
"86","56","Administrative and support and waste management and remediation services"
"87","561","Administrative and support services"
"88","562","Waste management and remediation services"
"89","61","Educational services"
"90","611","Educational services"
"91","62","Health care and social assistance"
"92","621","Ambulatory health care services"
"93","622","Hospitals"
"94","623","Nursing and residential care facilities"
"95","624","Social assistance"
"96","71","Arts, entertainment, and recreation"
"97","711","Performing arts, spectator sports, and related industries"
"98","712","Museums, historical sites, and similar institutions"
"99","713","Amusement, gambling, and recreation industries"
"100","72","Accommodation and food services"
"101","721","Accommodation"
"102","722","Food services and drinking places"
"103","81","Other services (except public administration)"
"104","811","Repair and maintenance"
"105","812","Personal and laundry services"
"106","813","Religious, grantmaking, civic, professional, and similar organizations"
"107","99","Industries not classified"
